size,updateTime,queryTime
100,0.000015750,0.000019166
500,0.000095494,0.000112087
800,0.000164788,0.000172293
900,0.000217172,0.000224918
200,0.000033997,0.000059623
300,0.000074330,0.000099874
700,0.000139537,0.000170084
400,0.000076582,0.000084544
1000,0.000239216,0.000233628
600,0.000119839,0.000141125
