size,updateTime,queryTime
100,0.000000626,0.000079710
500,0.000003623,0.001478164
800,0.000012208,0.005191877
900,0.000007002,0.004886964
200,0.000001378,0.000455958
300,0.000001795,0.000772544
700,0.000013837,0.002230376
400,0.000002122,0.001117628
1000,0.000006033,0.004794703
600,0.000003292,0.001691040
